Artifact_Name,Museum_Name,Artifact_Type,Material,Period_Dating,Finding_Place,Gallery_No,Dimensions,Credit_Donor,Description,Image_URL,Source_Link
Handwritten Quran Manuscript,Bangladesh National Museum,Manuscript / Religious Artifact,"Vellum or early paper, iron-gall ink Script: Early Arabic — Kufic style",,,Islamic Art and Manuscript Gallery,"Length 10 inches, Width 22 inches, Height 34 inches; Weight 4 kg; Pages: 372",,"A handwritten manuscript of the Holy Quran described on the museum label as a shadow copy (ছায়ালিপি) of the Mushaf-e-Usmani — the authoritative recension of the Quran compiled under the third Caliph Hazrat Uthman ibn Affan (RA) (644–656 CE), who standardised the text and dispatched copies to major Muslim cities. The script visible in the photograph is an early angular Arabic hand consistent with the Kufic tradition — one of the oldest calligraphic styles of the Arabic script, characterised by bold horizontal strokes, angular letterforms, and absence of diacritical vowel marks (tashkil), which is typical of the earliest Quranic manuscripts. The pages are of a warm cream-ivory colour showing significant age browning and foxing, and the ink — likely iron-gall — has darkened to near-black. The manuscript is displayed open at what appears to be an interior sura, written in a dense two-column layout of approximately 15–17 lines per page with no illuminated headings visible on this opening. At 372 pages and weighing 4 kg, this is a substantial full-text codex. Whether it is an authentic pre-modern manuscript or a scholarly facsimile reproduction of a Uthmanic original, it represents an important object in the BNM's Islamic heritage collection and in documenting the history of Quranic transmission.",https://drive.google.com/file/d/1IVoOWTM3g6EQJZS8airy56VdtA8F4ay9/view?usp=sharing,
Women Tea Pickers in the Hill Garden (Life-size Diorama),Bangladesh National Museum,Ethnographic Diorama / Living History Display,,,,Natural History or Ethnology section,,,"A large-scale, immersive diorama depicting the labour of women tea garden workers in the hill tea estates of the Sylhet region — the heart of Bangladesh's tea industry. Two life-size female mannequins, dressed in working saris with head coverings, are positioned among a dense planting of realistically rendered tea bushes (Camellia sinensis), their hands extended in the act of two-leaves-and-a-bud plucking, the standard harvesting technique for quality tea. The nearer figure carries a large wicker basket suspended from a headband across her forehead — the jhuri — the traditional carrying method in which the weight of the full basket of plucked leaves is borne by the neck and forehead rather than the hands, keeping both hands free for picking. Behind them a sweeping panoramic painted mural backdrop depicts the characteristic landscape of the Sylhet tea estates: terraced hillsides of vivid green tea bushes rolling across rounded hills beneath a cloud-filled sky, with additional worker figures visible in the middle distance. This diorama documents the lives of the largely female, predominantly Adivasi (indigenous) tea garden workforce — a community that has maintained the tea industry since the British colonial period but has historically faced significant social and economic marginalisation.",https://drive.google.com/file/d/1hEUWq3U39cC16nFQ49AGXOLRpKNTymDH/view?usp=sharing,
Traditional Garments: Choka and Chapkan,Bangladesh National Museum,Textile / Decorative Arts — Traditional Dress,,,,Decorative Arts or Ethnology section,,,"Three ornate full-length garments are displayed on mannequins within a glass case, with additional textile panels visible at the sides.Left — Choka (চোগা): A long flared outer robe in olive-gold silk with an overall small floral or boteh (paisley) brocade pattern woven across the body, and a broad, heavily embroidered dark border running along the hem and cuffs. The Choga is a traditional overgarment of Mughal and Persian origin worn by men of rank across the Indo-Persian cultural world. It falls to the ankle, is open at the front, and has long full sleeves.Centre — Chapkan (চাপকান): A fitted, knee-to-ankle-length coat in bright magenta silk with a dense woven gold zari (metallic thread) brocade of small repeating motifs across the entire surface, finished with a particularly heavy and elaborate gold border along the lapel, front opening, and hem. The Chapkan is a close-fitting garment derived from the Mughal court tradition — more structured and formal than the Choga — historically worn by nobles, officials, and grooms in wedding ceremonies. The vivid magenta with gold zari is a bridal or festive ceremonial combination.Right — Choka (চোগা), second example: A darker, slate-grey or charcoal outer robe with an extremely dense all-over surface of floral and arabesque embroidery covering practically the entire garment in a technique consistent with zardozi (gold and silver thread work) or fine block-printed resist-dyed fabric. The heavily worked surface would have required months of skilled handwork and represents a prestige garment of the highest order.",https://drive.google.com/file/d/119ZqZ9hfd-U9YHv9Ldi0PJK6tPR6bJzQ/view?usp=sharing,
Bust — Poet Rabindranath Tagore,Bangladesh National Museum,Portrait Sculpture,Bronze (with natural green-brown oxidation patina),,,Fine Arts / Literary Heritage section,Approximately 56 × 46 cm,,"A bronze portrait bust of Rabindranath Tagore (7 May 1861 – 7 August 1941) — Nobel Laureate in Literature (1913), poet, philosopher, composer, and the author of Amar Shonar Bangla, the national anthem of Bangladesh. The bust depicts Tagore in his characteristic elderly appearance, the form by which he is universally recognised: a broad, noble forehead framed by thick, wavy hair swept naturally back from the face, deepset and contemplative eyes under strong brows, a prominent straight nose, and the full, long flowing beard that became his most iconic physical feature. The sculptor has rendered the beard with considerable detail — individual locks and strands are modelled with sensitivity, giving the mass of hair an organic, living quality rather than a rigid sculptural convention. The drapery of the upper garment falls in broad, loosely worked folds across the chest and shoulders, suggesting the simple traditional chadar or shawl he habitually wore. The facial expression is meditative and inward — calm, wise, and gently melancholic in the way that characterises many of his most admired portraits. The surface of the bronze has developed a natural patina of warm brown and green oxidation, which gives the bust an aged, authoritative presence consistent with Tagore's standing as one of the defining figures of Bengali civilisation. Tagore's connection to present-day Bangladesh is direct and deep: he managed his family's zamindari estates at Shilaidaha (Kushtia), Shahjadpur (Sirajganj), and Patisar (Naogaon) for many years and composed some of his greatest works on the rivers and countryside of Bengal.",https://drive.google.com/file/d/17YAWkHhmQ7SgBXZlLROO6ckjf0grtK4Y/view?usp=sharing,
National Poet Kazi Nazrul Islam,Bangladesh National Museum,Portrait Sculpture,Bronze (with green oxidation patina),,,,,,"A bronze portrait bust of Kazi Nazrul Islam (25 May 1899 – 29 August 1976) — the National Poet (Jatiya Kabi) of Bangladesh, revolutionary lyricist, composer, novelist, and the most celebrated rebel voice in Bengali literature. Unlike the Tagore bust displayed nearby, this work depicts Nazrul in his youth — as the defiant, passionate young poet of the 1920s rather than the stricken older man of his later years. The face is full and youthful, with high, prominent cheekbones, wide eyes gazing upward and outward with an air of restless energy and defiance, and a slightly open, determined mouth. The hair is thick, wavy, and swept back from the forehead in loose natural curls that fall at the sides — a style consistent with his appearance in photographs from his most productive years. He wears an open-collared shirt, the collar loosely arranged, contributing to the impression of an unconventional, free-spirited personality. The bust is placed in front of a display panel that reproduces in large Bengali script one of Tagore's poems, alongside a historical photograph of Nazrul as a young man, creating a deliberate curatorial pairing of the two poets who together define the two great pillars of Bengali literary culture. The background poem, dated ২৬ চৈত্র ১৩০২ (26 Chaitra 1302 BS — 9 April 1896 CE), appears to be Tagore's Banga Mata — underscoring the thematic unity of both figures as voices of Bengali identity. Nazrul's body is interred at the Dhaka University campus mosque, making Bangladesh the country of his final rest and the primary custodian of his legacy.",,
Vishnu (Matsya Avatara) — মৎস্য অবতার,Bangladesh National Museum,Hindu Sculpture — Vaishnava,Black Basalt (Rajmahal black chlorite stone),8th–12th century CE (Pala period),"Vajrayogini (Bajrayogini), Munshiganj District",History and Classical Art,,,"Matsya — Sanskrit for ""fish"" — is the first of the ten principal avatars (Dashavatara) of Vishnu and the first intervention of divine preservation in Hindu cosmology. The myth exists in multiple versions across the Mahabharata, Shatapatha Brahmana, and the Puranas, but its essential structure is constant: at the end of a cosmic age, the demon Shankhasura stole the sacred Vedas — the divine knowledge that sustains the order of the universe — from the sleeping Brahma and concealed them in the depths of the primordial ocean. Vishnu descended in the form of a great fish to recover the Vedas from the cosmic deep and simultaneously guided the sage-king Manu and his family through the universal deluge (pralaya) in a great boat, thereby preserving the seed of humanity and all living beings for the new creation cycle to follow. The Matsya avatar thus carries a triple symbolic weight: it is an act of cosmic preservation (rescuing the Vedas), an act of civilisational salvation (guiding Manu through the flood — a narrative structurally parallel to the Mesopotamian and Biblical flood myths), and a cosmological marker (the transition between dissolution and new creation). As the first avatar it establishes the entire principle of Vishnu's avatarhood — that the divine descends into the world in embodied form whenever cosmic order (dharma) is threatened.The BNM Matsya Avatara from Vajrayogini, Munshiganj is carved in the fine-grained black basalt (Rajmahal black chlorite) that characterises the innumerable beautiful sculptures in Rajmahal Black Basalt Stone at the Bangladesh Museum from the Pala period. The stone's hardness permitted the extraordinarily fine surface detail — individual scales on the fish body, minute jewellery elements, subtle facial modelling — that distinguishes the best Pala carving from all contemporaneous Indian regional schools. 
Wikipedia

The upper human portion of the figure displays Vishnu in his standard four-armed manifestation, the body rendered with the full, smoothly modelled volumes of the Pala style — broad shoulders, a defined chest, a relatively narrow waist. The face carries the serene, inward-looking expression characteristic of Vaishnava images of the period: eyes slightly downcast and half-closed in the meditative yogic mode, brows gently arched, lips curved in the barely perceptible smile of divine composure. The kiritamukuta (tall cylindrical crown) rises above the head, and the standard Vaishnava ornaments — vanamala garland, kaustubha jewel on the chest, yajnopavita sacred thread, girdle, armlets, anklets — are rendered with careful attention to detail. The four hands hold the canonical Vaishnava attributes in their respective positions.

The transition between the human torso and the fish body is handled with the technical assurance of the mature Pala atelier — the transformation reads as natural and inevitable rather than awkward, the divine nature of Vishnu encompassing both forms simultaneously without contradiction. The fish body curves behind and below, its tail fin spreading at the base, the scaled surface texture providing a visual counterpoint to the smooth planes of the human torso above.

The sculpture is set against a prabhavali back-slab in the standard Bengal form, with flame borders running along the edge. Given its recovery from Vajrayogini in Munshiganj — the region of ancient Vikramapura — it belongs to the Southeast Bengal stylistic tradition and its characteristic clarity of composition and sensitivity of line.",https://drive.google.com/file/d/1GvMZhdKxQ4qQiFUY3Dhh-RE3LSHQeR_L/view?usp=sharing,https://en.banglapedia.org/index.php/Iconography
Kusumavahana (Damaged Image),Bangladesh National Museum,Hindu Sculpture,Black Basalt / Stone,10th–12th century CE (Pala period),"Niyamatpur, Naogaon District",History and Classical Art,,,"A damaged stone image of Kusumavahana recovered from Niyamatpur, Naogaon, now preserved in the Bangladesh National Museum. Kusumavahana — ""he whose vehicle is flowers"" — is an epithet associated with Kamadeva (the god of love) or with a specific form of a deity whose mount or vehicle is identified with blossoms. The damaged condition of the image prevents full iconographic reading, but the recovery from the Naogaon region places it within the North Bengal artistic tradition of the Pala period, characterised by the fine black basalt carving of the Rajmahal stone workshops.",,https://www.scribd.com/document/878106578/2018-Iconography-of-Stone-Sculptures
"Khadiravani Tara (Standing, with Ashokakanta-Marici and Ekajata)",Bangladesh National Museum,Buddhist Sculpture — Vajrayana,Black Stone,11th–12th century CE (late Pala period),"Rampal, Munshiganj",History and Classical Art,,,"A later and more elaborate standing Tara image from Rampal, Munshiganj — the same site that yielded the magnificent dancing Chamunda (Fig-21) described earlier — confirming Rampal as a major centre of religious sculptural production in the Vikramapura region. The goddess stands gracefully, two-armed, in the standard Tara iconographic mode: varada-mudra in the right hand and nilotpala stalk in the left. The composition is distinguished from the earlier Sukhabashpur example by the presence of two named attendant goddesses flanking the central Tara: Ashokakanta-Marici to her right and Ekajata to her left.

This specific triad — Tara with Ashokakanta-Marici and Ekajata — corresponds precisely to the form of Tara described in the Sadhanamala (the Vajrayana liturgical compendium of goddess iconographies) as Khadiravani Tara — literally ""Tara of the Acacia forest"" (khadira = Acacia catechu), a form of the goddess associated with a specific forest grove and with the particular protection she offers to those who practise her sadhana (meditation ritual) within such a setting. The Sadhanamala identification of this specific triad as Khadiravani Tara gives the sculpture a precise textual anchor in the liturgical literature of late Pala Vajrayana Buddhism, confirming it was produced not merely as a devotional image but as the material focus of a specific contemplative and ritual practice.

At the apex of the composition, five Transcendent Buddhas are arranged with Amoghasiddhi — the Buddha of the north, whose name means ""infallible accomplishment"" — placed in the central position. This confirms the family affiliation stated in the source text: Tara belongs to the family of Amoghasiddhi, and her presence within his mandala as the active, protective feminine principle of his enlightened activity is the cosmological statement that the sculpture's composition makes visible.",https://drive.google.com/file/d/1Hjx6Z1UPfYsLh_5MW-KMWhQVY1S-hdz5/view?usp=sharing,https://www.scribd.com/document/878106578/2018-Iconography-of-Stone-Sculptures
Parnashabari — Tribal Goddess Wearing Leaves,Bangladesh National Museum,Buddhist Sculpture — Vajrayana / Tantric,Black Stone,11th century CE (Pala period),"Vajrayogini, Munshiganj",History and Classical Art,,,"Two sculpture of this exceptionally rare goddess are now in the BNM — one from Vajrayogini, Munshiganj and one from Naynanda — making the museum the primary repository of Parnashabari imagery in the world. The Scribd source text itself flags the iconographic significance precisely: this is ""a unique figure of the Buddhist goddess only available from East Bengal"" — meaning Parnashabari as a sculptural type is geographically exclusive to this specific region and cannot be found in the Buddhist art of North Bengal, Bihar, or any other centre of Pala period production.

Parnashabari — Sanskrit for ""she who wears leaves as her garment"" (parna = leaf, shabara = tribal/forest-dweller) — is a forest deity of tribal origin who was absorbed into the Vajrayana pantheon as a goddess of healing, specifically as a protectress against contagious diseases and epidemics. Her tribal identity is declared by her garment of leaves rather than the silks and jewels of all other deities in the Pala sculptural tradition — a deliberately non-courtly iconographic statement that marks her as belonging to the margins of the social order and to the raw, unmediated power of the forest rather than the refined world of the monastery or palace.

The goddess is depicted standing in pratyalidha — the dynamic battle-lunge stance with the right leg advanced — trampling two male figures beneath her feet, these figures representing personified diseases (vyaadhis) that her worship conquers. She is three-headed and eight-armed. The source text specifies that in six of her hands she holds clockwise: elephant-goad (ankusha), arrow (bana), thunderbolt (vajra), leaves (parna — her defining attribute), bow (dhanu), and the threatening pointing gesture (tarjani-mudra). Two of the remaining hands are engaged in the trampling posture or in additional gestures not specified in this passage. She is pot-bellied — an iconographic feature associated with abundance and the earth's fertility — and is accompanied by two attendant figures, one of whom rides a donkey, a distinctly humble and non-royal mount consistent with her tribal, non-courtly identity.

On the pedestal below the main composition, a crawling figure with an elephant head holds a sword and shield — identified in the source text as an obstacle-demon (vighna), a supernatural being representing impediments that the goddess overcomes. At the apex of the composition, five Transcendent Buddhas (Dhyani Buddhas) are arranged with Amoghasiddhi — the Buddha of the north, associated with fearlessness and the wisdom of accomplished action — placed in the central position. This cosmological crown elevates Parnashabari from a tribal healing deity to a fully integrated figure within the Vajrayana mandala system, her healing power framed as an expression of Amoghasiddhi's indestructible compassionate activity.",https://drive.google.com/file/d/1VbZtYVZvrpAnZ6thN3O5bNvEDX4ruUtm/view?usp=sharing,
Pratisara / Mahapratisara — The Great Protectress,Bangladesh National Museum,Buddhist Sculpture — Vajrayana / Pancaraksha,,11th century CE (Pala period),"Vikrampur, Munshiganj District",,,,"A three-headed, eight-armed image of Pratisara — also called Mahapratisara, ""the Great Protectress"" — the foremost of the five Pancaraksha (""Five Protective Goddesses"") of Vajrayana Buddhism. The source text makes an observation of critical regional significance: ""the cult of these Five Protective deities was prevalent only in this area of Bengal"" — meaning eastern Bangladesh, specifically the Vikramapura / Munshiganj / Comilla zone. This geographical exclusivity mirrors the pattern seen with Parnashabari and confirms that the tantric Buddhist communities of Southeast Bengal developed specific goddess cults that had no parallel in the Buddhism of North Bengal, Bihar, or beyond.

The deity is seated in satvaparyankasana — the posture of heroic ease, with one knee raised — a posture of dignified, settled power appropriate to a great protectress. She is three-headed, the heads shown in relief-sculpture format, and eight-armed, though the upper portion of the image is damaged. The eight hands hold clockwise the following eight attributes as specified in the source: discus (cakra), trident (trishula), arrow (bana), sword (khadga), bow (dhanu), thunderbolt (vajra), hatchet (parashu), and noose (pasha) accompanied by the threatening pointing gesture (tarjani-mudra). This arsenal of eight weapons — spanning the attributes of Vishnu, Shiva, Indra, and the directional guardians — identifies Mahapratisara as a cosmic protectress capable of defeating threats from all directions and of all categories.

The combination of the three heads, the eight weapons, and the satvaparyankasana posture follows the iconographic prescription for Mahapratisara found in the Pancaraksha tantric texts — a class of protective literature whose practical application in ritual was the conferral of immunity from disease, poison, fire, flood, evil spirits, and all dangerous supernatural forces. The presence of this image from Vikrampur confirms that the Vikramapura monastery complex — capital city of the Candra, Varman, and Sena dynasties — sustained an active tradition of Pancaraksha worship alongside its better-documented Shaiva and Vaishnava religious life.",https://drive.google.com/file/d/1kUA1JcpeA-dPsYII00mEfm18FjswkyUW/view?usp=sharing,
Heruka (Two-armed),Bangladesh National Museum,Buddhist Sculpture — Vajrayana,Black Bassalt,10th–11th century CE (Pala period),"Shubhapur, Devidvar, Comilla District",History and Classical Art,,,"A sculpture of Heruka in his two-armed manifestation, recovered from Shubhapur in Devidvar, Comilla district. Heruka is one of the principal wrathful (krodha) deities of Vajrayana Buddhism — a fierce, ecstatic deity of the anuttarayoga-tantra class whose terrifying form represents the transformation of negative emotions into liberating wisdom. In his two-armed form he is typically depicted standing in a dynamic posture, naked or minimally clothed, adorned with bone ornaments (ashtamudrabhushana), displaying an expression of fierce compassion. The recovery from Comilla district — the region of the Lalmai-Mainamati ridge and Vikramapura — confirms the presence of advanced Vajrayana tantric practice in Southeast Bengal, consistent with the documented role of the Mainamati monasteries as centres of esoteric Buddhism from the 7th century onward and their artistic connections to Java and Bihar",https://drive.google.com/file/d/1CU9gnGsjuJnUA-w4yy69zkWSXYxfLQEq/view?usp=sharing,
Namasamgiti — Female Form (Namasamgiti-devi),Bangladesh National Museum,Buddhist Sculpture — Vajrayana / Tantric,Black Stone,11th century CE (late Pala period),"Vikrampur, Munshiganj District",History and Classical Art,,,"The goddess sits in vajraparyankasana — the cross-legged adamantine posture — inside a chaitya: the characteristic horseshoe-arched architectural frame of a Buddhist shrine, whose pointed arch and distinctive profile identifies the entire composition as a sacred space, a sanctuary within a sanctuary. This setting within a chaitya arch is consistent with other late Pala period images from Southeast Bengal in which the deity is shown residing within a miniature architectural structure, as documented by Bautze-Picron in the paper you uploaded.

She is three-headed — the three faces arranged frontally with the lateral heads in three-quarter profile, a compositional convention for multi-headed deities established throughout the Pala sculptural tradition — and twelve-armed, the twelve arms fanning symmetrically around the body, each hand holding a specific attribute. The twelve-armed configuration corresponds to the standard Namasamgiti description in the Dharmakosasamgraha and reflects the fullness of the deity's cosmological reach — twelve being a number of cosmological completeness in the Vajrayana system, corresponding to the twelve members of dependent origination (pratityasamutpada) and to the twelve-spoked wheel of the dharma.

While the specific attributes held in the twelve hands are not enumerated in the source text, the standard Namasamgiti attribute programme — drawn from the Sadhanamala and the Nispannayogavali — would include the sword of wisdom (khadga), the blue lotus (nilotpala), the bow and arrow, the vajra (thunderbolt), the book (pustaka — representing the Namasamgiti text itself), and various gestures of teaching, protection, and boon-giving. In the female form, some of these attributes would be modified to reflect her closer alignment with the Prajnaparamita and Tara traditions.",https://drive.google.com/file/d/1JgP-fw77zGxzLAcrT8mtFUFHPYEGywrT/view?usp=sharing,
Brahma (Caturmukha),Bangladesh National Museum,Hindu Sculpture — Brahmanical,Black Stone,10th century CE (Pala period),"Kalihar, Rajshahi District",History and Classical Art,Height 52 cm,,"A Pala-period blackstone sculpture of Brahma — the Creator god of the Hindu trinity (Trimurti) — seated in padmasana (lotus posture) on a large lotus throne, his characteristic four faces (caturmukha) arranged at the cardinal directions, with the principal face frontal and the three subsidiary faces visible in three-quarter profile to the left and right and implied at the back. The four faces reflect the theological identity of Brahma as the deity who presides over all four directions of space and whose creative speech (Vak) — the sacred syllable Om — resounded in all four directions simultaneously at the moment of cosmic creation.

The figure is four-armed, holding in his hands the standard Brahma iconographic attributes: a water vessel (kamandalu), associated with the primordial waters from which creation arose; prayer beads (akshamala), marking his status as the lord of cosmic time measured through ritual; and the Vedas (pustaka), the sacred texts that he holds as their ultimate author and guardian. His body is ornamented with jewellery consistent with the 10th-century Pala stylistic idiom — a necklace, armlets, and a girdle — rendered with the careful, restrained detail of the mature North Bengal school.

Beneath the lotus throne, Brahma's vahana (divine vehicle) the hamsa — the goose or swan, symbol of discriminating wisdom (viveka) and of the brahman in its unmanifest form — is visible, providing the cosmic mount upon which the Creator rides. Two small worshipping figures are positioned at the base of the pedestal, while two celestial attendant figures (vidyadharas) are carved in the upper corners of the composition carrying garlands in devotion. The back-slab shows various attendant deities and ornamental elements consistent with the 10th-century North Bengal compositional tradition.

The recovery from Kalihar in Rajshahi district places this within the North Bengal Pala school. Brahma, often a minor deity elsewhere, was notably popular in Bengal, evidenced by numerous 8th–9th century stone images identified in various museums. This 10th-century Kalihar Brahma extends that tradition into a slightly later period, showing the continued vitality of Brahma worship in North Bengal even as the major sculptural energy of the Pala period shifted toward Vishnu and Shaiva imagery in the 11th–12th centuries.",https://drive.google.com/file/d/1aPdv2MYqIkazvuOBQs4tald1cC4GsbbS/view?usp=sharing,
Nibedon Stupa,Bangladesh National Museum,Architectural Sculpture / Votive Monument,Black Stone,10th century CE (Pala period),"Bangarh, West Dinajpur District (Balurghat), India (now South Dinajpur)",History and Classical Art,Height 107 cm (1 metre 7 centimetres),,"A nibedon stupa — literally a ""dedicatory stupa"" (nibedan = offering/dedication in Bengali, from Sanskrit nivedana) — is a miniature architectural monument in stone, functioning as a votive offering placed within a temple precinct or monastery as an act of religious merit-making. It is a condensed, sculptural version of a full-scale Buddhist or Hindu religious tower, offered by a donor as a permanent act of devotion rather than built at full scale. This BNM example, recovered from Bangarh in West Dinajpur, is a remarkable specimen of this relatively rare genre of Pala-period religious art.

The monument takes the form of a tapering tower of octagonal or square plan rising from a broader base, the entire exterior surface elaborately carved in horizontal registers of diminishing width as the monument ascends. The lower section of the tower has deep-set arched niches on each face, within each of which stands a small carved figure of a deity — from the photograph, figures that appear to be standing male deities in the Vaishnava or Brahmanical tradition, each within its own miniature arched frame. Above the niche register, multiple horizontal bands of dense foliate and scrollwork ornament cover the tapering body of the tower — interlaced floral arabesque, lotus patterns, and geometric banding of the type characteristic of the mature Pala architectural ornamental vocabulary. The entire composition is crowned at the apex by a large amalaka — the ribbed melon-shaped finial of the Hindu rekha deul (curvilinear shikhara tower) — confirming that the monument's overall form is modelled on the North Indian temple tower rather than the hemispherical Buddhist stupa proper, despite its name. To the left in the photograph a second, plainer pillar of similar form is visible, suggesting the BNM holds at least two such votive pillars from Bangarh.",https://drive.google.com/file/d/1HrNUNTdA8fSyFF23FNsz87A8TqhRWBbo/view?usp=sharing,
Gauri with Infant Sadyojata Shiva,Bangladesh National Museum,Hindu Sculpture — Shaiva / Shakta,Black Basalt,11th–12th century CE (Pala-Sena period),"Dubalhati, Naogaon District",History and Classical Art,Length 71 cm (Daily Star source confirms 74.93 × 33.02 cm),,"One of the rarest and most theologically unusual sculptural types in the entire BNM collection — and indeed among the rarest iconographic types in all of Bengal's medieval sculpture — this horizontal relief slab depicts an extraordinarily intimate and tender mythological scene: the goddess Gauri (Parvati) reclining on her daybed as a new mother, with the infant Lord Shiva in the form of Sadyojata nursing at her breast.

The composition inverts the usual hierarchical relationship between Shiva and Parvati in Indian iconography — in which Shiva is the senior, omnipotent deity and Gauri his devoted consort — and instead shows the great god of destruction and dissolution as a newborn child, entirely dependent on the nurturing body of the goddess. This inversion encodes a profound and specifically tantric theological statement: that the male divine principle (Purusha / Shiva) is ultimately born of and sustained by the female divine principle (Prakriti / Shakti / Gauri), and that the goddess in her maternal aspect is cosmologically prior and causally supreme. Sadyojata — ""just born,"" the western face of Shiva associated with creation and the earth element — is here literally just born, the great Creator-Destroyer as an infant at the breast of the Mother of the Universe.

Reclining on her day bed with her newborn, bejeweled Gauri enjoys a foot rub from a lady-in-waiting. The baby nursing at her breast is Lord Shiva in the form of Sadyojata. The divine mother is healthy, conveyed by her contented smile and sensuous waist. Various offerings are laid below, and a host of diminutive deities assemble above to make this votive image more auspicious by their presence. They are comprised of Shiva in his aniconic form as the lingam, Shiva's sons Ganesha and Kartikeya, and the nine planetary bodies in Indian astronomy — the navagraha",https://drive.google.com/file/d/1ocDsa0WJpKawOOzYfL2xH7gZVnQ094N8/view?usp=sharing,
Tombstone Epitaph of Haji Shariatullah (সমাধিলিপি),Bangladesh National Museum,Architectural Sculpture / Inscribed Pillar,Black Stone,,Faridpur District,Islamic History / Medieval Bengal section,,,"A stone epitaph (mazarlipi or qabrlipi) bearing the tombstone inscription of Haji Shariatullah (c. 1781–1840 CE), founder of the Faraizi Movement (Faraezi Andolan) — one of the most significant Islamic reform movements in 19th-century Bengal and a major precursor to the broader social and anti-colonial consciousness that eventually shaped the independence movements of South Asia.

The inscription is engraved in dense naskh Arabic script on a rectangular black stone slab, beginning at the top with the Bismillah — Bismillah al-Rahman al-Rahim (""In the name of God, the Most Gracious, the Most Merciful"") — in an ornamental cartouche, followed by multiple lines of Arabic text recording the death, identity, and religious standing of the deceased. The date 1255 AH / 1840 CE is visible in the lower registers of the inscription. The clarity of the engraving and the density of the text suggest this was the work of a skilled professional calligrapher-stonemason, likely in the Persian-Arabic epigraphy tradition that flourished in Bengal under Mughal and later Nawabi patronage.

Haji Shariatullah was born in Bahadurpur, Faridpur district. He spent approximately twenty years studying in Mecca, where he came under the influence of the Wahhabi reform movement of Muhammad ibn Abd al-Wahhab and the broader movement for returning Islamic practice to its scriptural fundamentals. Returning to Bengal around 1820, he founded the Faraizi movement — named for its central emphasis on the faraiz (obligatory duties/pillars of Islam) — which called for:

Strict adherence to Quranic obligations and rejection of what he considered un-Islamic innovations (bid'ah) that had entered Bengali Muslim practice
The declaration that Friday prayers and Eid prayers were not obligatory in Bengal as it was Dar al-Harb (territory under non-Muslim rule) — a controversial ruling that distinguished his movement from others
Opposition to exploitative indigo planters and zamindars — making the Faraizi movement simultaneously a religious reform and a peasant resistance movement against British colonial economic oppression
Shariatullah died in Bahadurpur, Faridpur in 1840 and was buried there. His son Dudu Miyan (Muhammad Muhsinuddin) continued and radicalised the movement after his death. The removal of his tombstone inscription from Faridpur to the BNM has preserved what would otherwise be a vulnerable outdoor epigraphic record, making the museum the primary custodian of this material document of one of Bengal's most important 19th-century religious and social leaders.",https://drive.google.com/file/d/1kebmyrbrMjJVoCibYaJBKzWvXztllSrI/view?usp=sharing,
Inscribed Pillar (Stambha) — Kamboja Dynasty,Bangladesh National Museum,Architectural Sculpture / Inscribed Pillar,Black Stone,966 CE (confirmed date in inscription),"Bangarh, West Dinajpur District, India (now South Dinajpur)",History and Classical Art,Height 255 cm (2 metres 55 centimetres),,"A monumental inscribed black stone pillar, standing 255 cm tall, erected in 966 CE by order of a king of the Kamboja dynasty — making it one of the most precisely dated pieces of monumental stone architecture from 10th-century Bengal in any museum collection, and a primary historical document of one of the least studied dynasties of early medieval Bengal.

The pillar is octagonal in plan — its eight faces carrying the continuous decorative programme around its circumference — and tapers slightly from a broader square base to a more slender shaft and an elaborately carved capital. The carved decoration is organised in horizontal registers of diminishing height as the pillar ascends. The lower section bears figural carved panels — divine or royal figures within arched niches. The middle shaft carries bands of floral and geometric ornament in the mature Pala-period North Bengal idiom. The capital is the most elaborately worked section, with multiple stacked bands of dense interlaced foliage, kirtimukha (monstrous face of glory), and pearl borders beneath the broad flat top of the capital. The inscription — confirming the date of 966 CE and the Kamboja dynastic identity — would be carved on one or more faces of the shaft or base.

The Kamboja Dynasty in Bengal: The Kambojas were a people of northwestern origin — associated in ancient sources with the Kamboja country of the northwest frontier — who established a ruling dynasty in North Bengal in the 10th–11th centuries, displacing the weakened Pala rulers. The Kamboja-Pala dynasty, known by this name in the 10th and 11th centuries, established control over North and East Bengal after defeating the Pala rulers. Rajyapala was the founder of this dynasty, and the history of this dynasty is found in the Irda copper plate inscription. The 966 CE date on this pillar would place it in the reign of one of the earliest Kamboja rulers of Bengal — contemporary with or immediately following Rajyapala's consolidation of power — making it a primary epigraphic witness to the Kamboja takeover of North Bengal. The Bangarh provenance is significant: Bangarh (ancient Kotivarsya) was the most important administrative centre of North Bengal under successive dynasties, and the erection of a monumental inscribed pillar there was a deliberate act of political legitimation — claiming the ancient capital and its authority for the new Kamboja rulers.",https://drive.google.com/file/d/1sQ2gaRMhK86c_aqsp8j4sINlKCYeF6KC/view?usp=sharing,
